epoch, loss, categorical_accuracy, precision, recall, true_positives, false_positives, false_negatives, val_loss, val_categorical_accuracy, val_precision, val_recall, val_true_positives, val_false_positives, val_false_negatives
1, 0.2936379015445709, 0.9145089387893677, 0.9478808641433716, 0.8801116347312927, 39429.0, 2168.0, 5371.0, 0.12895765900611877, 0.9624999761581421, 0.9710578918457031, 0.9556249976158142, 10703.0, 319.0, 497.0
2, 0.11028999090194702, 0.9664285778999329, 0.972235381603241, 0.9606249928474426, 43036.0, 1229.0, 1764.0, 0.0901687815785408, 0.972053587436676, 0.9770125150680542, 0.9676785469055176, 10838.0, 255.0, 362.0
3, 0.08242291212081909, 0.9750669598579407, 0.9789210557937622, 0.9713169932365417, 43515.0, 937.0, 1285.0, 0.07226478308439255, 0.9778571724891663, 0.9815763235092163, 0.975178599357605, 10922.0, 205.0, 278.0
4, 0.06602641940116882, 0.9787499904632568, 0.9818418622016907, 0.9764285683631897, 43744.0, 809.0, 1056.0, 0.06804991513490677, 0.9793750047683716, 0.9822310209274292, 0.9772321581840515, 10945.0, 198.0, 255.0
5, 0.057850923389196396, 0.9824776649475098, 0.9846857786178589, 0.9802678823471069, 43916.0, 683.0, 884.0, 0.06479663401842117, 0.9802678823471069, 0.9822469353675842, 0.9781249761581421, 10955.0, 198.0, 245.0
6, 0.047229863703250885, 0.984955370426178, 0.9869824051856995, 0.9832812547683716, 44051.0, 581.0, 749.0, 0.05696670711040497, 0.9822321534156799, 0.9847533702850342, 0.9803571701049805, 10980.0, 170.0, 220.0
7, 0.04323676973581314, 0.9859151840209961, 0.9875307679176331, 0.9846651554107666, 44113.0, 557.0, 687.0, 0.054230183362960815, 0.9821428656578064, 0.98440021276474, 0.9803571701049805, 10980.0, 174.0, 220.0
8, 0.03463492915034294, 0.9887723326683044, 0.9899563789367676, 0.9878571629524231, 44256.0, 449.0, 544.0, 0.05288710072636604, 0.9826785922050476, 0.9840730428695679, 0.9819642901420593, 10998.0, 178.0, 202.0
9, 0.03138560801744461, 0.9892857074737549, 0.990205705165863, 0.9884374737739563, 44282.0, 438.0, 518.0, 0.052105169743299484, 0.9839285612106323, 0.98594069480896, 0.9830357432365417, 11010.0, 157.0, 190.0
10, 0.02781881019473076, 0.9909151792526245, 0.991706132888794, 0.9902008771896362, 44361.0, 371.0, 439.0, 0.05088895931839943, 0.9841071367263794, 0.98611980676651, 0.983214259147644, 11012.0, 155.0, 188.0
